[14:33:40] [INFO] [main] 토큰 발급 중...
[14:33:44] [INFO] [main] 기존 보유 종목 포지션 복원 중...
[14:48:52] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:48:57] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:49:02] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:49:07] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:49:12] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:49:17] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:49:22] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:49:27] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:49:32] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:49:37] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:49:42] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:49:47] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:49:52] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:49:57] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:50:02] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:50:07] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:50:12] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:50:17] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:50:22] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:50:27] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:50:32] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:50:37] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:50:42] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:50:47] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:50:52] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:50:57] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
